X,Y,object_id,id,description,code_esirius,www_photo,type,commune,code_officiel_geographique,adresse,code_postal,ville,tel,fax,horaires,has_dab_interne,has_dab_externe,has_conseiller_financier,has_conseiller_telecom,has_conseiller_polyvalent,global_id,has_conseiller_postal,created_user,created_date,last_edit_user,last_edited_date
422331.963500001,242663.055600001,1049,4323,Agence de TONTOUTA,,,Agence,TONTOUTA,98821,Lot 138 ALLEE PAUL KLEIN,98840,TONTOUTA,206290,,"LU : 07:45-11:15/12:15-15:00
MA : 07:45-11:15/12:15-15:00
ME : 07:45-11:15/12:15-15:00
JE : 07:45-11:15/12:15-15:00
VE : 07:45-11:15/12:15-15:00
SA : 
DI :",1,1,0,0,0,{D8529295-2E49-4050-94B4-76E82084A2F7},0,OPT_NC,2021/07/05 23:00:03+00,OPT_NC,2021/07/05 23:00:03+00
312795.9102,316715.218699999,1050,4173,Agence de POYA,,,Agence,POYA,98827,Lot 27J PIE,98827,POYA,471715,471766,"LU : 07:45-11:15/12:15-15:00
MA : 07:45-11:15/12:15-15:00
ME : 07:45-11:15/12:15-15:00
JE : 07:45-11:15/12:15-15:00
VE : 07:45-11:15/12:15-15:00
SA : 
DI :",0,1,0,0,0,{71144A9A-D6CC-4AE0-935E-794CAA026F9E},0,OPT_NC,2021/07/05 23:00:03+00,OPT_NC,2021/07/05 23:00:03+00
447275.560000002,225966.710000001,1051,4153,Agence de DUMBEA MAIRIE,,,Annexe,DUMBEA MAIRIE,98805,777 ROUTE TERRITORIALE N°1,98835,DUMBEA,206503,417595,"LU : 09:00-11:30/12:30-14:30
MA : 09:00-11:30/12:30-14:30
ME : 09:00-11:30/12:30-14:30
JE : 09:00-11:30/12:30-14:30
VE : 09:00-11:30/12:30-14:30
SA : 
DI :",0,1,0,0,0,{935544AA-0CE8-4608-B37D-62BC3B318C6C},0,OPT_NC,2021/07/05 23:00:03+00,OPT_NC,2021/07/05 23:00:03+00
450123.619999997,220029.220000001,1052,4165,Agence de MONT-DORE PONT DES FRANCAIS,site37,,Annexe,MONT-DORE PONT DES FRANCAIS,98817,107 AVENUE DES DEUX BAIES,98809,MONT-DORE,436101,432200,"LU : 
MA : 
ME : 
JE : 
VE : 
SA : 
DI :",1,1,1,1,0,{2FA7353E-9C7D-485E-8E83-E27CAD2BEB3F},0,OPT_NC,2021/07/05 23:00:03+00,OPT_NC,2021/07/05 23:00:03+00
453534.280000001,219434.050000001,1053,4164,Agence de MONT-DORE BOULARI,site8,,Agence,MONT-DORE BOULARI,98817,23 RUE ANTOINE GRISCELLI,98809,MONT-DORE,413333,436262,"LU : 07:45-12:00/12:00-15:00
MA : 07:45-12:00/12:00-15:00
ME : 07:45-12:00/12:00-15:00
JE : 07:45-12:00/12:00-15:00
VE : 07:45-12:00/12:00-15:00
SA : 
DI :",1,1,1,1,0,{E7085C88-30D6-46C5-A9B3-9C291E532643},0,OPT_NC,2021/07/05 23:00:03+00,OPT_NC,2021/07/05 23:00:03+00
464206.859999999,214240.57,1054,4312,Agence de MONT-DORE PLUM,,,Annexe,MONT-DORE PLUM,98817,9048 LA CORNICHE DU MONT DORE,98809,MONT-DORE,206504,354703,"LU : 08:00-11:00/12:00-14:30
MA : 08:00-11:00/12:00-14:30
ME : 08:00-11:00/12:00-14:30
JE : 08:00-11:00/12:00-14:30
VE : 08:00-11:00/12:00-14:30
SA : 
DI :",0,0,0,0,0,{D6D4839D-30F7-4C90-BFA1-B394009B8136},0,OPT_NC,2021/07/05 23:00:03+00,OPT_NC,2021/07/05 23:00:03+00
448817.280000001,221400.57,1055,4303,Agence de DUMBEA KOUTIO,site18,,Agence,DUMBEA KOUTIO,98805,5 IMPASSE PIERRE VOYER,98835,DUMBEA,411515,416098,"LU : 07:45-12:00/12:00-15:00
MA : 07:45-12:00/12:00-15:00
ME : 07:45-12:00/12:00-15:00
JE : 07:45-12:00/12:00-15:00
VE : 07:45-12:00/12:00-15:00
SA : 
DI :",1,1,1,1,0,{BC5BB38E-668B-4EEC-8449-5923D02B7E57},0,OPT_NC,2021/07/05 23:00:03+00,OPT_NC,2021/07/05 23:00:03+00
438030.292400002,230183.5452,1056,4318,Agence de PAITA,site10,,Agence,PAITA,98821,Lot 110,98889,PAITA,206257,353700,"LU : 07:45-12:00/12:00-15:00
MA : 07:45-12:00/12:00-15:00
ME : 07:45-12:00/12:00-15:00
JE : 07:45-12:00/12:00-15:00
VE : 07:45-12:00/12:00-15:00
SA : 
DI :",1,1,1,1,1,{7C284290-5174-4BBC-8B62-3CB0B80028D8},0,OPT_NC,2021/07/05 23:00:03+00,OPT_NC,2021/07/05 23:00:03+00
445967.219999999,212085.43,1057,4168,Agence de NOUMEA SUD,,,Agence,NOUMEA SUD,98818,19 RUE MARCELLIN LACABANNE,98800,NOUMÉA,268650,262760,"LU : 07:45-12:00/12:00-15:00
MA : 07:45-12:00/12:00-15:00
ME : 07:45-12:00/12:00-15:00
JE : 07:45-12:00/12:00-15:00
VE : 07:45-12:00/12:00-15:00
SA : 
DI :",1,1,1,1,0,{51D517F9-E12E-47E4-83CD-402EB47D4906},0,OPT_NC,2021/07/05 23:00:03+00,OPT_NC,2021/07/05 23:00:03+00
446756.509999998,214629.01,1058,4170,Agence de NOUMEA VALLEE DES COLONS,site21,,Annexe,NOUMEA VALLEE DES COLONS,98818,54 RUE AUGUSTE BENEBIG,98800,NOUMÉA,273764,281878,"LU : 07:45-12:00/12:00-15:00
MA : 07:45-12:00/12:00-15:00
ME : 07:45-12:00/12:00-15:00
JE : 07:45-12:00/12:00-15:00
VE : 07:45-12:00/12:00-15:00
SA : 
DI :",1,1,0,0,0,{8C2EB245-CF76-4A47-96B4-11CA65B8EE01},0,OPT_NC,2021/07/05 23:00:03+00,OPT_NC,2021/07/05 23:00:03+00
446868.630000003,216717.689999999,1059,3101,Agence de NOUMEA MONTRAVEL - FERMEE,,,Annexe,NOUMEA MONTRAVEL - FERMEE,98818,5 RUE DU DOCTEUR GEORGES COLLARD,98800,NOUMÉA,285052,285054,"LU : 08:00-11:00
MA : 
ME : 08:00-11:00
JE : 
VE : 08:00-11:00
SA : 
DI :",0,0,0,0,0,{F735A02F-2787-4A70-8FB6-61C03FE2E5F2},0,OPT_NC,2021/07/05 23:00:03+00,OPT_NC,2021/07/05 23:00:03+00
445934.380000003,215750.640000001,1060,1152,Agence de NOUMEA VALLEE DU TIR,site12,,Agence,NOUMEA VALLEE DU TIR,98818,3 RUE BERTHELOT,98800,NOUMÉA,274415,277698,"LU : 07:45-12:00/12:00-15:00
MA : 07:45-12:00/12:00-15:00
ME : 07:45-12:00/12:00-15:00
JE : 07:45-12:00/12:00-15:00
VE : 07:45-12:00/12:00-15:00
SA : 
DI :",0,1,1,1,0,{BAD010C6-D104-4748-8C94-0B4F583DA719},0,OPT_NC,2021/07/05 23:00:03+00,OPT_NC,2021/07/05 23:00:03+00
444446.850000001,218799.1,1061,1652,Agence de NOUMEA DUCOS LOGICOOP,site19,,Annexe,ANNEXE DE LOGICOOP,98818,139 Route de la BAIE DES DAMES - RUE JOSE CASAROLI,98800,NOUMÉA,284890,272154,"LU : 08:00-11:15/12:15-14:30
MA : 08:00-11:15/12:15-14:30
ME : 08:00-11:15/12:15-14:30
JE : 08:00-11:15/12:15-14:30
VE : 08:00-11:15/12:15-14:30
SA : 
DI :",0,1,1,0,0,{8472B76F-7DAC-464B-BD26-8ED3E128EA0E},0,OPT_NC,2021/07/05 23:00:03+00,OPT_NC,2021/07/05 23:00:03+00
446072.450000003,218361.17,1062,1651,Agence de NOUMEA DUCOS CENTRE,site17,,Agence,agence OPT DUCOS CENTRE,98818,30 Route de la BAIE DES DAMES - RUE JOSE CASAROLI,98800,NOUMÉA,231300,231010,"LU : 07:45-12:00/12:00-15:00
MA : 07:45-12:00/12:00-15:00
ME : 07:45-12:00/12:00-15:00
JE : 07:45-12:00/12:00-15:00
VE : 07:45-12:00/12:00-15:00
SA : 
DI :",1,1,1,1,0,{4CCB12D4-952B-4BBA-BB14-343575C44546},0,OPT_NC,2021/07/05 23:00:03+00,OPT_NC,2021/07/05 23:00:03+00
447954.630000003,218612.65,1063,4167,Agence de NOUMEA RIVIERE SALEE,site11,,Agence,NOUMEA RIVIERE SALEE,98818,53 AVENUE BONAPARTE,98800,NOUMÉA,419596,416099,"LU : 07:45-11:15/12:15-15:00
MA : 07:45-11:15/12:15-15:00
ME : 07:45-11:15/12:15-15:00
JE : 07:45-11:15/12:15-15:00
VE : 07:45-11:15/12:15-15:00
SA : 
DI :",0,1,1,1,1,{3349BCF9-EE10-4020-95F3-A75285E7AF94},0,OPT_NC,2021/07/05 23:00:03+00,OPT_NC,2021/07/05 23:00:03+00
448361.829999998,217435.73,1064,4166,Agence de NOUMEA BELLE VIE,site5,,Agence,NOUMEA BELLE VIE,98818,224 RUE JACQUES IEKAWE,98800,NOUMÉA,413636,413639,"LU : 
MA : 
ME : 
JE : 
VE : 
SA : 07:45-11:00
DI :",1,1,1,1,1,{26C29C8B-732B-4116-B8B7-BE274A1B562C},0,OPT_NC,2021/07/05 23:00:03+00,OPT_NC,2021/07/05 23:00:03+00
